id,question,ground_truth,difficulty_level,question_type,topic
1,What documents do I need to travel internationally?,"For international travel, you typically need a valid passport. Many countries require your passport to be valid for at least 6 months beyond your planned departure date. Depending on your nationality and destination, you may also need a visa, which can take days to months to obtain. Some travelers within certain regions (like EU citizens in the Schengen area) may only need a national ID card.",easy,factual,safety
2,What is the Eiffel Tower's location?,"The Eiffel Tower is located in Paris, France, specifically in the 7th arrondissement on the Champ de Mars near the Seine River.",easy,factual,attractions
3,What are the typical business hours in Spain?,"In Spain, typical business hours for shops are Monday to Saturday from 10:00 to 14:00 and 17:00 to 20:30, with many businesses closing for siesta in the afternoon. Banks usually operate Monday to Friday from 9:00 to 14:00. Restaurants typically serve lunch from 14:00 to 16:00 and dinner from 21:00 to 23:00 or later.",easy,factual,culture
4,What currency is used in Japan?,The currency used in Japan is the Japanese Yen (JPY or ¥).,easy,factual,local_features
5,What is the best time to visit the Great Barrier Reef?,"The best time to visit the Great Barrier Reef is during the Australian winter and spring (June to November) when the weather is dry, water visibility is excellent, and temperatures are comfortable. The wet season (December to May) brings rain, higher temperatures, and potential for stingers in the water.",easy,recommendation,attractions
6,What are common greetings in Thai culture?,"Common greetings in Thai culture include 'Sawasdee' (hello) accompanied by a 'wai' (a prayer-like gesture with hands pressed together and a slight bow). The depth of the bow indicates the level of respect. It's polite to return a wai when greeted, though tourists are not expected to wai service staff.",easy,factual,culture
7,What vaccinations are recommended for travel to Brazil?,"For travel to Brazil, recommended vaccinations typically include routine vaccines (measles, mumps, rubella), Hepatitis A and B, Typhoid, and Yellow Fever. Yellow Fever vaccination is particularly important and may be required for entry depending on your travel itinerary. Malaria prophylaxis may be recommended for certain regions, particularly the Amazon.",easy,factual,safety
8,What is the capital city of Australia?,"The capital city of Australia is Canberra, located in the Australian Capital Territory (ACT) between Sydney and Melbourne.",easy,factual,local_features
9,What are popular souvenirs from Italy?,"Popular souvenirs from Italy include leather goods (especially from Florence), Murano glass from Venice, olive oil and balsamic vinegar, wine, pasta, Parmigiano-Reggiano cheese, fashion items and designer goods, ceramics (particularly from Deruta and Vietri), and local artisan products.",easy,factual,culture
10,What is the time zone difference between New York and London?,"New York (Eastern Time Zone) is 5 hours behind London (Greenwich Mean Time) during standard time, and 4 hours behind during daylight saving time when the UK observes British Summer Time.",easy,factual,local_features
11,What language is spoken in Portugal?,"The language spoken in Portugal is Portuguese. While some people in tourist areas speak English, learning basic Portuguese phrases is helpful and appreciated.",easy,factual,culture
12,What are the main attractions in Paris?,"Main attractions in Paris include the Eiffel Tower, Louvre Museum, Arc de Triomphe, Notre-Dame Cathedral, Sacré-Cœur Basilica, Champs-Élysées, Musée d'Orsay, Palace of Versailles, Sainte-Chapelle, and the Latin Quarter.",easy,factual,attractions
13,What type of power outlet is used in the United Kingdom?,The United Kingdom uses Type G power outlets (three rectangular prongs in a triangular pattern). The standard voltage is 230V at 50Hz.,easy,factual,local_features
14,What is tipping etiquette in the United States?,"In the United States, tipping is customary and expected. Standard tips are 15-20% in restaurants, $1-2 per drink at bars, 15-20% for taxi drivers, $1-2 per bag for hotel porters, and $2-5 per day for hotel housekeeping. Tips are a significant part of service workers' income.",easy,factual,culture
15,What are the visa requirements for US citizens traveling to Canada?,"US citizens traveling to Canada for tourism generally do not need a visa for stays up to 180 days. However, they must have a valid passport or other approved secure document. Some travelers may need an Electronic Travel Authorization (eTA) if arriving by air.",easy,factual,safety
16,What is the climate like in Iceland?,Iceland has a cold oceanic climate characterized by cool summers and mild winters for its latitude. Temperatures range from around 0°C in winter to 10-15°C in summer. Weather can be unpredictable with frequent changes. The country experiences long daylight hours in summer and limited daylight in winter.,easy,factual,local_features
17,What are famous landmarks in Egypt?,"Famous landmarks in Egypt include the Pyramids of Giza and the Great Sphinx, the Egyptian Museum in Cairo, temples of Luxor and Karnak, Valley of the Kings, Abu Simbel temples, temples at Philae and Edfu, and the Bibliotheca Alexandrina in Alexandria.",easy,factual,attractions
18,What should I wear when visiting temples in Southeast Asia?,"When visiting temples in Southeast Asia, dress modestly by covering shoulders and knees. Remove shoes before entering temple buildings. Wear lightweight, loose-fitting clothing that covers your body. Avoid revealing clothing, shorts, and sleeveless tops. Some temples provide sarongs or coverings for visitors.",easy,procedural,culture
19,What is the local cuisine in Mexico known for?,"Mexican cuisine is known for its use of corn, beans, chilies, and tomatoes. Signature dishes include tacos, enchiladas, mole, tamales, pozole, and guacamole. Regional variations are significant, with Oaxaca known for mole, Yucatán for cochinita pibil, and coastal areas for fresh seafood.",easy,factual,culture
20,What are the operating hours of the Louvre Museum?,"The Louvre Museum in Paris is open from 9:00 AM to 6:00 PM on Monday, Thursday, Saturday, and Sunday, and until 9:45 PM on Wednesday and Friday. It is closed on Tuesdays and certain public holidays. Hours may vary seasonally, so checking the official website before visiting is recommended.",easy,factual,attractions
21,What is the official language of Morocco?,"The official languages of Morocco are Arabic and Tamazight (Berber). French is widely used in business, government, and education. In tourist areas, many people also speak Spanish and English.",easy,factual,culture
